SHSE.900942
SHSE.601068
SHSE.900928
SHSE.900936
SZSE.000991
SHSE.900941
SHSE.900953
SZSE.200725
SZSE.200045
SHSE.900907
SHSE.900918
SZSE.200026
SHSE.900946
SHSE.900932
SHSE.900916
SHSE.601606
SZSE.200019
SHSE.900938
SHSE.603302
SZSE.200706
SZSE.200055
SHSE.900906
SHSE.900933
SHSE.900919
SZSE.200613
SZSE.200553
SHSE.900947
SHSE.900935
SZSE.200468
SZSE.200057
SHSE.900921
SZSE.200986
SHSE.900905
SZSE.200429
SHSE.900957
SHSE.900926
SHSE.900934
SZSE.200003
SHSE.900939
SZSE.200530
SZSE.300724
SHSE.900901
SZSE.200992
SHSE.600349
SZSE.200058
SZSE.002710
SHSE.900951
SZSE.200041
SHSE.900913
SZSE.200168
SHSE.900930
SZSE.200413
SZSE.200512
SZSE.200541
SZSE.200016
SHSE.900909
SZSE.002257
SHSE.900956
SZSE.200054
SZSE.200539
SZSE.200011
SZSE.200025
SHSE.900955
SHSE.900914
SHSE.900923
SHSE.900920
SZSE.200039
SHSE.900922
SZSE.200030
SZSE.200771
SHSE.900948
SZSE.200770
SZSE.300728
SHSE.900927
SZSE.200152
SHSE.900950
SZSE.200017
SHSE.900917
SHSE.900910
SZSE.200024
SZSE.200513
SHSE.900949
SZSE.200418
SHSE.900931
SZSE.200029
SZSE.200056
SZSE.200015
SZSE.200028
SZSE.300361
SHSE.900902
SZSE.200581
SZSE.002720
SZSE.200550
SZSE.200018
SZSE.200022
SHSE.900911
SZSE.002525
SZSE.200020
SZSE.200002
SHSE.900903
SZSE.200013
SHSE.900904
SZSE.200488
SZSE.200160
SHSE.900915
SHSE.900924
SHSE.603192
SHSE.900945
SZSE.200521
SZSE.200596
SZSE.200625
SHSE.601206
SZSE.200012
SHSE.900937
SHSE.900943
SHSE.900929
SZSE.200761
SZSE.200505
SZSE.200570
SHSE.900912
SZSE.200053
SZSE.200037
SZSE.300646
SZSE.200869
SZSE.200726
SHSE.900925
SHSE.900952
SHSE.900940
SHSE.900908
